Дата,Время,TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current
2020-02-01,00:00:10,-0.0126666666666667,9.348,9.331333333333333,-0.0226666666666659,9.348,53.62500000000001,0.040833333333333166
2020-02-01,00:00:19,-0.0126666666666667,9.338,9.322000000000001,-0.0219999999999984,9.338,53.56666666666666,0.040833333333333166
2020-02-01,00:00:29,-0.0120000000000004,9.327999999999998,9.312,-0.0219999999999984,9.327999999999998,53.5,0.040833333333333166
2020-02-01,00:00:39,-0.0120000000000004,9.317333333333332,9.301333333333332,-0.0226666666666659,9.318,53.46666666666666,0.04
2020-02-01,00:00:49,-0.0120000000000004,9.306666666666667,9.290666666666667,-0.0233333333333334,9.308,53.449999999999996,0.04
2020-02-01,00:00:59,-0.012666666666666701,9.296,9.28,-0.0240000000000009,9.297333333333334,53.475,0.04
2020-02-01,00:01:09,-0.012666666666666701,9.286,9.269333333333332,-0.0233333333333334,9.286666666666667,53.449999999999996,0.04
2020-02-01,00:01:19,-0.012666666666666701,9.275333333333334,9.258666666666665,-0.0226666666666659,9.275333333333334,53.449999999999996,0.04
2020-02-01,00:01:29,-0.0126666666666667,9.265333333333333,9.248666666666667,-0.0226666666666659,9.265333333333333,53.4,0.04
2020-02-01,00:01:39,-0.0126666666666667,9.255333333333335,9.238666666666667,-0.0233333333333334,9.254666666666667,53.375,0.04
2020-02-01,00:01:49,-0.013333333333332998,9.244666666666667,9.228,-0.0240000000000009,9.244,53.39166666666666,0.04
2020-02-01,00:01:59,-0.012666666666666701,9.234,9.216666666666667,-0.0233333333333334,9.232666666666665,53.36666666666667,0.04
2020-02-01,00:02:09,-0.012666666666666701,9.223333333333334,9.206666666666665,-0.0226666666666659,9.223333333333334,53.39166666666666,0.04
2020-02-01,00:02:18,-0.0126666666666667,9.214,9.197333333333333,-0.0226666666666659,9.214,53.35833333333333,0.04
2020-02-01,00:02:28,-0.0126666666666667,9.204,9.187333333333333,-0.0226666666666659,9.204666666666666,53.35833333333333,0.04
2020-02-01,00:02:38,-0.0126666666666667,9.193333333333335,9.177333333333333,-0.0226666666666659,9.194,53.30833333333334,0.04
2020-02-01,00:02:48,-0.012666666666666701,9.182666666666668,9.166666666666666,-0.0219999999999984,9.184,53.29166666666668,0.04
2020-02-01,00:02:58,-0.012666666666666701,9.172,9.156666666666666,-0.0226666666666659,9.174,53.291666666666664,0.04
2020-02-01,00:03:08,-0.012666666666666701,9.162,9.146,-0.0226666666666659,9.163333333333334,53.25,0.03916666666666683
2020-02-01,00:03:18,-0.0120000000000004,9.152,9.136000000000001,-0.0226666666666659,9.152666666666667,53.225,0.03916666666666683
2020-02-01,00:03:28,-0.0120000000000004,9.142,9.126,-0.0219999999999984,9.142,53.19166666666667,0.03916666666666683
2020-02-01,00:03:38,-0.0120000000000004,9.132,9.116,-0.0219999999999984,9.131333333333332,53.20000000000001,0.04
2020-02-01,00:03:48,-0.0126666666666667,9.121333333333332,9.105333333333332,-0.0226666666666659,9.120666666666665,53.17499999999999,0.040833333333333166
2020-02-01,00:03:58,-0.013333333333332998,9.110666666666667,9.094666666666667,-0.0233333333333334,9.11,53.13333333333333,0.040833333333333166
2020-02-01,00:04:08,-0.013333333333332998,9.100666666666667,9.084666666666665,-0.0233333333333334,9.1,53.11666666666667,0.040833333333333166
2020-02-01,00:04:18,-0.012666666666666701,9.091333333333333,9.075333333333333,-0.0233333333333334,9.090666666666666,53.15,0.04
2020-02-01,00:04:27,-0.0126666666666667,9.081333333333333,9.065333333333333,-0.0226666666666659,9.080666666666668,53.150000000000006,0.04
2020-02-01,00:04:37,-0.013333333333332998,9.070666666666668,9.054666666666668,-0.0226666666666659,9.071333333333333,53.150000000000006,0.04
